timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649178590268,1,http://localhost:3000/login-4,304,Not Modified,Thread Group 1-10,,true,,180,562,53,53,http://localhost:3000/static/js/main.chunk.js,0,0,0
1649178590273,2,http://localhost:8085/api/v1/users/roles,200,,Thread Group 1-1,text,true,,608,341,53,53,http://localhost:8085/api/v1/users/roles,2,0,0
1649178590273,2,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-10,text,true,,807,344,53,53,http://localhost:8085/api/v1/companies/list,2,0,0
1649178590273,2,http://localhost:8085/api/v1/adverts/categories,200,,Thread Group 1-52,text,true,,602,348,53,53,http://localhost:8085/api/v1/adverts/categories,2,0,0
1649178590276,4,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,200,,Thread Group 1-52,text,true,,2205,402,53,53,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,4,0,0
1649178590276,5,http://localhost:8085/api/v1/users/roles,200,,Thread Group 1-10,text,true,,608,341,54,54,http://localhost:8085/api/v1/users/roles,4,0,0
1649178590249,36,http://localhost:3000/,200,OK,Thread Group 1-53,text,true,,3810386,2509,54,54,http://localhost:3000/,18,0,0
1649178590249,18,http://localhost:3000/-0,200,OK,Thread Group 1-53,text,true,,2066,485,54,54,http://localhost:3000/,18,0,0
1649178590268,17,http://localhost:3000/-1,200,OK,Thread Group 1-53,bin,true,,5134,496,54,54,http://localhost:3000/favicon.ico,17,0,0
1649178590268,5,http://localhost:3000/-2,200,OK,Thread Group 1-53,text,true,,36158,504,54,54,http://localhost:3000/static/js/bundle.js,5,0,0
1649178590268,17,http://localhost:3000/-3,200,OK,Thread Group 1-53,text,true,,3219284,516,54,54,http://localhost:3000/static/js/vendors~main.chunk.js,13,0,0
1649178590268,7,http://localhost:3000/-4,200,OK,Thread Group 1-53,text,true,,547744,508,54,54,http://localhost:3000/static/js/main.chunk.js,6,0,0
1649178590215,76,http://localhost:8085/management/api/v1/users/addUser,200,,Thread Group 1-26,text,true,,737,547,55,55,http://localhost:8085/management/api/v1/users/addUser,76,0,0
1649178590286,5,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-53,text,true,,807,344,55,55,http://localhost:8085/api/v1/companies/list,5,0,0
1649178589978,154,Test,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-26,,true,,3819001,7598,55,55,null,107,166,4
1649178590298,3,http://localhost:8085/api/v1/adverts/categories,200,,Thread Group 1-53,text,true,,602,348,55,55,http://localhost:8085/api/v1/adverts/categories,3,0,0
